"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"C1,C2,C4,C8","4","1uF","","","","",""
"C3,C5,C9,C11,C41,C42,C61,C63,C65,C67,C76,C79","12","10uF","","","","",""
"C6,C58,C59","3","33pF","","","","",""
"C7,C10,C14,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C60,C62,C64,C66,C68,C74,C75,C80","26","100nF","","","","",""
"C12,C13","2","2.2uF","","","","",""
"C15,C16","2","0.1uF","","","","",""
"C17,C19","2","0.033uF","","","","",""
"C18,C20","2","0.47uF","","","","",""
"C21,C23","2","0.015uF","","","","",""
"C22,C24","2","0.15uF","","","","",""
"C25,C27","2","0.0068uF","","","","",""
"C26,C28","2","0.068uF","","","","",""
"C29,C31","2","0.0033uF","","","","",""
"C30,C32","2","0.022uF","","","","",""
"C33,C35","2","0.0015uF","","","","",""
"C34,C36","2","0.01uF","","","","",""
"C37,C39","2","680pF","","","","",""
"C38,C40","2","0.0047uF","","","","",""
"C69","1","100pF","","","","",""
"C70,C71","2","C_Small_US","","","","",""
"C72","1","C_Small","","","","",""
"J1","1","AudioPlug3","","","","",""
"LS3,LS4","2","4Ω 3W","","","","",""
"R1,R2,R17,RV1,RV3,RV4,RV5,RV6,RV7,RV8","10","10k","","","","",""
"R3,R12,R19,R22,R23,R25,R26,R28,R29,R31,R32,R34,R35,R38,R41,R44,R47,R50,R53,R56,R63,R64,R65,R66","24","100k","","","","",""
"R4,R5","2","22k","","","","",""
"R6,R10,R18,R59","4","100","","","","",""
"R7,R14","2","470","","","","",""
"R8,R9,R11,R13","4","6.8k","","","","",""
"R15","1","200k","","","","",""
"R16,RV2","2","10K","","","","",""
"R20,R21,R24,R27,R30,R33,R36,R39,R42,R45,R48,R51,R54,R57","14","680","","","","",""
"R37,R40,R43,R46","4","82K","","","","",""
"R49,R52","2","62k","","","","",""
"R55,R58","2","47k","","","","",""
"R60,R61,R62","3","47K","","","","",""
"R67,R68,R69,R70,R71,R72,R73","7","47","","","","",""
"R74,R75,R76,R78","4","1k","","","","",""
"R77","1","R_Small_US","","","","",""
"U1,U2,U3,U4,U5,U6,U8,U11,U12","9","NE5532","","","","","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
"U7,U14","2","","","","","",""
"U9","1","PAM8403D","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.diodes.com/assets/Datasheets/products_inactive_data/PAM8403.pdf"
"U10","1","MSGEQ7","","","","","http://mix-sig.com/images/datasheets/MSGEQ7.pdf"
"U13","1","CD4051B","","","","","http://www.ti.com/lit/ds/symlink/cd4052b.pdf"
